Source,Targets,Type,Id,Label,timeset,Weight,edge,text
R14,R14.4,Directed,221,,,1,Schnittstellen,
R14,R14.5,Directed,222,,,1,Schnittstellen,
R14,R14.6,Directed,223,,,1,Schnittstellen,
R10.3,R1.3,Directed,224,,,1,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
R10.3,R5.4,Directed,225,,,1,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
R10.3,R5.1,Directed,226,,,1,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
R2.1,R2.2,Directed,227,,,1,Ruestzeit,Die Ruestzeit soll maximal 5 Minuten betragen.
R3.2,13.2,Directed,228,,,1,Farbe Schutzhaube,Die Farbe der Schutzhaube soll RAL 7022 (Umbragrau) sein.
R5.3,R10.3,Directed,229,,,1,Zertifikat Meisterrotor,Es wird ein Zertifikat f�r den Meisterrotor geliefert.
R5.3,R5.4,Directed,230,,,1,Zertifikat Meisterrotor,Es wird ein Zertifikat f�r den Meisterrotor geliefert.
R5.4,R5.1,Directed,231,,,1,Meisterrotor Art,Der Meisterrotor ist ein vereinfachter Einstellrotor in Ausf�hrung nach DIN ISO 21940-21.
R5.5,R5.4,Directed,232,,,1,Meisterrotor Gewicht,Der Meisterrotor soll 5 kg wiegen.
R5.5,R10.3,Directed,233,,,1,Meisterrotor Gewicht,Der Meisterrotor soll 5 kg wiegen.
R10.1,R10.3,Directed,234,,,1,Standardpruefverfahren,
R10.2,R5.1,Directed,235,,,1,Pruefung- Gewicht,
R1.2,R1.6,Directed,236,,,1,Bauteilmaterial,
R1.4,R6.6.2,Directed,237,,,1,Bauteilgroee,
R5.3,R5.1,Directed,238,,,1,Zertifikat Meisterrotor,
R5.6,R5.4,Directed,239,,,1,Meisterrotor Ebenen,
R5.6,R5.1,Directed,240,,,1,Meisterrotor Ebenen,
R6.6.1,R6.7.1,Directed,241,,,1,Rollenlager 1,
R6.6.1,R6.7,Directed,242,,,1,Rollenlager 1,
R6.6.2,R6.8.3,Directed,243,,,1,Rollenlager 2,
R6.6.2,R6.8,Directed,244,,,1,Rollenlager 2,
R6.6.3,R6.9.1,Directed,245,,,1,Prismenlager,
R6.6.3,R6.9,Directed,246,,,1,Prismenlager,
R6.7.1,R6.7.3,Directed,247,,,1,Traverse R1,
R6.7.3,R6.7.1,Directed,248,,,1,Laufrollen R1,
R6.7.3,R6.6.1,Directed,249,,,1,Laufrollen R1,
R6.7.3,R6.7,Directed,250,,,1,Laufrollen R1,
R6.8.3,R6.8.1,Directed,251,,,1,Laufrollen R2,
R6.9.1,R6.6.3,Directed,252,,,1,Traverse P,
F1,F1.2,Directed,253,,,1,,
F1,F1.3,Directed,254,,,1,,
F1,F1.4,Directed,255,,,1,,
F1,F1.5,Directed,256,,,1,,
F1,F1.6,Directed,257,,,1,,
F1,F1.1,Directed,258,,,1,,
F1,F1.7,Directed,259,,,1,,
F1.1,F1.1.1,Directed,260,,,1,,
F1.1,F1.1.2,Directed,261,,,1,,
F1.1,F1.1.4,Directed,262,,,1,,
F1.1,F1.1.5,Directed,263,,,1,,
F1.1,F1.1.6,Directed,264,,,1,,
F1.1.1,F1.1.1.1,Directed,265,,,1,,
F1.1.1,F1.1.1.2,Directed,266,,,1,,
F1.1.2,F1.1.2.1,Directed,269,,,1,,
F1.3,F1.3.1,Directed,275,,,1,,
F1.3,F1.3.2,Directed,276,,,1,,
F1.3.2,F1.3.2.1,Directed,278,,,1,,
F1.7,F1.7.1,Directed,283,,,1,,
F1.7,F1.7.2,Directed,284,,,1,,
F1,L1.11,Directed,287,,,1,,
F1.1,L1.11,Directed,288,,,1,,
F1.1.1,L1.7,Directed,289,,,1,,
F1.1.1.1,L1.7,Directed,290,,,1,,
F1.1.1.2,L1.11,Directed,291,,,1,,
F1.1.2,L1.7,Directed,292,,,1,,
F1.1.2.1,L1.7,Directed,293,,,1,,
F1.1.4,L1.12,Directed,294,,,1,,
F1.1.5,L1.8,Directed,295,,,1,,
F1.1.6,L1.7,Directed,296,,,1,,
F1.2,L1.7,Directed,297,,,1,,
F1.3,L1.7,Directed,298,,,1,,
F1.3.1,L1.11,Directed,299,,,1,,
F1.3.2,L1.11,Directed,300,,,1,,
F1.3.2.1,L1.7,Directed,301,,,1,,
F1.4,L1.12,Directed,302,,,1,,
F1.5,L1.2,Directed,303,,,1,,
F1.6,L1.2,Directed,304,,,1,,
F1.7,L1.12,Directed,305,,,1,,
F1.7.1,L1.12,Directed,306,,,1,,
F1.7.2,L1.12,Directed,307,,,1,,
L1,P1,Directed,308,,,1,,
L1.1,P1.1,Directed,309,,,1,,
L1.2,P1.2,Directed,310,,,1,,
L1.3,P1.3,Directed,311,,,1,,
L1.4,P1.4,Directed,312,,,1,,
L1.5,P1.5,Directed,313,,,1,,
L1.6,P1.6,Directed,314,,,1,,
L1.7,P1.7,Directed,315,,,1,,
L1.8,P1.8,Directed,316,,,1,,
L1.9,P1.9,Directed,317,,,1,,
L1.10,P1.10,Directed,318,,,1,,
L1.11,P1.11,Directed,319,,,1,,
L1.12,P1.12,Directed,320,,,1,,
L1,L1.1,Directed,321,,,1,Auswuchtmaschine,
L1,L1.2,Directed,322,,,1,Auswuchtmaschine,
L1,L1.3,Directed,323,,,1,Auswuchtmaschine,
L1,L1.4,Directed,324,,,1,Auswuchtmaschine,
L1,L1.5,Directed,325,,,1,Auswuchtmaschine,
L1,L1.6,Directed,326,,,1,Auswuchtmaschine,
L1,L1.7,Directed,327,,,1,Auswuchtmaschine,
L1,L1.8,Directed,328,,,1,Auswuchtmaschine,
L1,L1.9,Directed,329,,,1,Auswuchtmaschine,
L1,L1.10,Directed,330,,,1,Auswuchtmaschine,
L1,L1.11,Directed,331,,,1,Auswuchtmaschine,
L1,L1.12,Directed,332,,,1,Auswuchtmaschine,
P1.1,P1.1.1,Directed,356,,,1,,
P1.1,P1.1.2,Directed,357,,,1,,
P1.1,P1.1.3,Directed,358,,,1,,
P1.1,P1.1.4,Directed,359,,,1,,
P1.1.4,P1.1.4.1,Directed,360,,,1,,
P1.1.4,P1.1.4.2,Directed,361,,,1,,
P1.1.4,P1.1.4.3,Directed,362,,,1,,
P1.1.4,P1.1.4.4,Directed,363,,,1,,
P1.1.4,P1.1.4.5,Directed,364,,,1,,
P1.1.4,P1.1.4.6,Directed,365,,,1,,
P1.1.4,P1.1.4.7,Directed,366,,,1,,
P1.12.2,P1.12.1.1,Directed,410,,,1,,
P1.12.2,P1.12.1.2,Directed,411,,,1,,
P1.12.2,P1.12.1.3,Directed,412,,,1,,
P1.2,P1.2.10,Directed,422,,,1,,
P1.2,P1.2.9,Directed,423,,,1,,
P1.2,P1.2.8,Directed,424,,,1,,
P1.2,P1.2.7,Directed,425,,,1,,
P1.2,P1.2.5,Directed,426,,,1,,
P1.2,P1.2.4,Directed,427,,,1,,
P1.2,P1.2.3,Directed,428,,,1,,
P1.2,P1.2.2,Directed,429,,,1,,
P1.2,P1.2.1,Directed,430,,,1,,
P1.2,P1.12.20,Directed,431,,,1,,
P1.7.8,P1.7.3,Directed,433,,,1,,
P1.7.8,P1.7.4,Directed,434,,,1,,
P1.7.8,P1.7.7,Directed,435,,,1,,
P1.7.8,P1.7.9,Directed,436,,,1,,
P1.7.8,P1.7.12,Directed,437,,,1,,
P1.3,P1.3.15,Directed,440,,,1,,
P1.3,P1.3.1,Directed,441,,,1,,
P1.3,P1.3.2,Directed,442,,,1,,
P1.3,P1.3.3,Directed,443,,,1,,
P1.3,P1.3.4,Directed,444,,,1,,
P1.3,P1.3.5,Directed,445,,,1,,
